Unnamed: 0.1,Unnamed: 0,Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tag,Place,Location,Source,Source URL
46,46,香港特别行政区,11/28/2022,,香港中环 目前的情况,,https://video.twimg.com/ext_tw_video/1597206460257247236/pu/vid/1280x720/FFLk0m279ELnTmZV.mp4?tag=12,2022-11-28 12:34:00,李老师不是你李老师 twitter@whyyoutouzhele,People,香港特别行政区,"22.350627,114.1849161",,https://twitter.com/whyyoutouzhele/status/1597207183170863105#m
47,47,北京市北京市,11/28/2022,,北京海淀黄庄 的情况,,"<iframe src=""https://archive.org/embed/ipqXd2XoAAasEl"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 12:29:00,李老师不是你李老师 twitter@whyyoutouzhele,People,北京市北京市,"39.92998577808024,116.39564503787868",,https://twitter.com/whyyoutouzhele/status/1597206098523848706#m
48,48,上海市上海市,11/28/2022,,上海 情况,,"<iframe src=""https://archive.org/embed/ippWV3XwAEa4dP"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 12:24:00,李老师不是你李老师 twitter@whyyoutouzhele,People,上海市上海市,"31.24916171001514,121.48789948569473",,https://twitter.com/whyyoutouzhele/status/1597204886340661249#m
49,49,浙江省杭州市,11/28/2022,,杭州 西湖 一个民众被盘查,,https://video.twimg.com/ext_tw_video/1597204338098700288/pu/vid/720x1280/2Q3Tbk6-olo6-7PD.mp4?tag=12,2022-11-28 12:23:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597204654366294017#m
50,50,浙江省杭州市,11/28/2022,,杭州西湖 有一名男子拿着菊花来到现场,,https://video.twimg.com/ext_tw_video/1597203659082940416/pu/vid/720x1280/Vs3I3aKpSsZzozA_.mp4?tag=12,2022-11-28 12:20:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597203852213698561#m
51,51,浙江省杭州市,11/28/2022,,杭州 网友投稿,,"<iframe src=""https://archive.org/embed/ipmcNMXkAY9Y-c"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 12:12:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597201746874765312#m
52,52,福建农林大学,11/28/2022,,"福建农林大学 约两小时前 一名男子戴着绿头鱼头套，穿着写着标语的军大衣在校园内。
随后被保安带走",,https://video.twimg.com/ext_tw_video/1597200606200041473/pu/vid/720x1280/6Jj0Bdc60E8f3pdu.mp4?tag=12,2022-11-28 12:08:00,李老师不是你李老师 twitter@whyyoutouzhele,Student,福建农林大学,"24.4922452,117.6399849",,https://twitter.com/whyyoutouzhele/status/1597200739738476547#m
53,53,河南省洛阳市阳城县,11/28/2022,,此刻 河南洛阳市上阳城，人们聚集要求解封，办事处已经报警,,https://video.twimg.com/ext_tw_video/1597199561566654468/pu/vid/720x1280/SoBpoDQKUae6AUZ7.mp4?tag=12,2022-11-28 12:03:00,李老师不是你李老师 twitter@whyyoutouzhele,People,河南省洛阳市阳城县,"34.51847093539538, 112.1819775940222",,https://twitter.com/whyyoutouzhele/status/1597199601039454209#m
54,54,浙江省杭州市,11/28/2022,, 杭州 n77 现在一名女生被带走，另一个视角,,https://video.twimg.com/ext_tw_video/1597210328512823296/pu/vid/720x1280/nuZ1sp4UcS6TovU9.mp4?tag=12,2022-11-28 12:46:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597210424881344512#m
55,55,香港特别行政区中环,11/28/2022,,"香港中环 悼念民众被抄身份证
时间是20:50 直播的记者说无法确认是留学生还是香港居民",,https://video.twimg.com/ext_tw_video/1597199098779734016/pu/vid/828x474/Zf9YlSm2U3qOsKVV.mp4?tag=12,2022-11-28 12:02:00,李老师不是你李老师 twitter@whyyoutouzhele,People,香港特别行政区中环,"22.2818286,114.1582784",,https://twitter.com/whyyoutouzhele/status/1597199137094926336#m
56,56,浙江省杭州市,11/28/2022,,"杭州  in77现场
警察围出一片长方形空白区域",,"<iframe src=""https://archive.org/embed/ipiXO0XgAAQbqB"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 11:54:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597197355245256705#m
57,57,江苏省南京市,11/28/2022,,南京总统府旁边的 南京图书馆,,"<iframe src=""https://archive.org/embed/ipaFwAXoAkbILa"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-28 11:40:00,李老师不是你李老师 twitter@whyyoutouzhele,People,江苏省南京市,"32.05723550180587,118.77807440802562",,https://twitter.com/whyyoutouzhele/status/1597193587187277824#m
58,58,浙江省杭州市,11/28/2022,,"杭州 湖滨in77 此刻
现场气氛紧张，警察正在列队。
据现场网友称，现在并没有人在这里示威。",,https://video.twimg.com/ext_tw_video/1597192700528304128/pu/vid/1280x720/GoInm79EuUnhnSBD.mp4?tag=12,2022-11-28 11:38:00,李老师不是你李老师 twitter@whyyoutouzhele,People,浙江省杭州市,"30.259244461536102,120.2193754157201",,https://twitter.com/whyyoutouzhele/status/1597193205346619393#m
59,59,香港中文大学,11/28/2022,,"网友投稿
香港中文大学，有很多本地人、教师和国际友人参与，现场很有秩序",,https://video.twimg.com/ext_tw_video/1597192364241690624/pu/vid/1280x720/BqWcwCERgNlpgg9a.mp4?tag=12,2022-11-28 11:35:00,李老师不是你李老师 twitter@whyyoutouzhele,Student,香港中文大学,"22.4201838,114.20797521405615",,https://twitter.com/whyyoutouzhele/status/1597192498006601728#m
